Frame,Timestamp,Progress (sec),Turbulence,Stagnation,Recovery,Observation,Status
2,00:00,0.08,0.00,False,None,Irregular airflow pattern detected,FAIL
14,00:00,0.58,0.00,False,None,Irregular airflow pattern detected,FAIL
27,00:01,1.12,0.00,False,None,Irregular airflow pattern detected,FAIL
39,00:01,1.62,0.00,False,None,Irregular airflow pattern detected,FAIL
51,00:02,2.12,0.00,False,None,Irregular airflow pattern detected,FAIL
63,00:02,2.62,0.00,False,None,Irregular airflow pattern detected,FAIL
75,00:03,3.12,0.00,False,None,Irregular airflow pattern detected,FAIL
87,00:03,3.62,0.00,False,None,Irregular airflow pattern detected,FAIL
99,00:04,4.12,0.00,False,None,Irregular airflow pattern detected,FAIL
111,00:04,4.62,0.00,False,None,Irregular airflow pattern detected,FAIL
123,00:05,5.12,0.00,False,None,Irregular airflow pattern detected,FAIL
135,00:05,5.62,0.00,False,None,Irregular airflow pattern detected,FAIL
147,00:06,6.12,0.00,False,None,Irregular airflow pattern detected,FAIL
159,00:06,6.62,0.00,False,None,Irregular airflow pattern detected,FAIL
171,00:07,7.12,0.00,False,None,Irregular airflow pattern detected,FAIL
183,00:07,7.62,0.00,False,None,Irregular airflow pattern detected,FAIL
195,00:08,8.12,0.00,False,None,Irregular airflow pattern detected,FAIL
207,00:08,8.62,0.00,False,None,Irregular airflow pattern detected,FAIL
219,00:09,9.12,0.00,False,None,Irregular airflow pattern detected,FAIL
231,00:09,9.62,0.00,False,None,Irregular airflow pattern detected,FAIL
243,00:10,10.12,0.00,False,None,Irregular airflow pattern detected,FAIL
255,00:10,10.62,0.00,False,None,Irregular airflow pattern detected,FAIL
267,00:11,11.12,0.00,False,None,Irregular airflow pattern detected,FAIL
279,00:11,11.62,0.00,False,None,Irregular airflow pattern detected,FAIL
291,00:12,12.12,0.00,False,None,Irregular airflow pattern detected,FAIL
303,00:12,12.62,0.00,False,None,Irregular airflow pattern detected,FAIL
315,00:13,13.12,0.00,False,None,Irregular airflow pattern detected,FAIL
327,00:13,13.62,0.00,False,None,Irregular airflow pattern detected,FAIL
339,00:14,14.12,0.00,False,None,Irregular airflow pattern detected,FAIL
351,00:14,14.62,0.00,False,None,Irregular airflow pattern detected,FAIL
816,00:34,34.00,0.00,False,None,Irregular airflow pattern detected,FAIL
817,00:34,34.04,0.00,False,None,Irregular airflow pattern detected,FAIL
818,00:34,34.08,0.00,False,None,Irregular airflow pattern detected,FAIL
819,00:34,34.12,0.00,False,None,Irregular airflow pattern detected,FAIL
820,00:34,34.17,0.00,False,None,Irregular airflow pattern detected,FAIL
