epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.49135,0.82676,0.75,1,0.67458,5.001e-05,5.001e-05,5.001e-05
2,4.82419,0.67063,0.75,1,0.67455,0.00011438,0.00011438,0.00011438
3,7.07529,0.50874,0.75,1,0.62385,0.000176109,0.000176109,0.000176109
4,9.28836,0.29849,0.75,1,0.5904,0.000235197,0.000235197,0.000235197
5,11.4212,0.22309,0.75,1,0.62776,0.000291645,0.000291645,0.000291645
6,13.5374,0.17176,0.75,1,0.69928,0.000345452,0.000345452,0.000345452
7,15.7342,0.17674,0.75,1,0.84336,0.000396619,0.000396619,0.000396619
8,17.8541,0.14451,0.75,1,0.84046,0.000445146,0.000445146,0.000445146
9,19.9968,0.11882,0.75,1,0.82203,0.000491032,0.000491032,0.000491032
10,22.0958,0.08961,0.75,1,0.77548,0.000534277,0.000534277,0.000534277
11,24.2505,0.15241,0.75,1,0.69971,0.000574882,0.000574882,0.000574882
12,26.4066,0.10889,0.75,1,0.62194,0.000612846,0.000612846,0.000612846
13,28.5518,0.11924,0.75,1,0.58574,0.00064817,0.00064817,0.00064817
14,30.6756,0.09833,0.75,1,0.58181,0.000680853,0.000680853,0.000680853
15,32.8244,0.10762,0.75,1,0.57355,0.000710895,0.000710895,0.000710895
16,34.9651,0.09766,0.75,1,0.57566,0.000738298,0.000738298,0.000738298
17,37.0818,0.10244,0.75,1,0.55534,0.000763059,0.000763059,0.000763059
18,39.2259,0.10073,0.75,1,0.56378,0.00078518,0.00078518,0.00078518
19,41.3949,0.11113,0.75,1,0.54981,0.000804661,0.000804661,0.000804661
20,43.4684,0.08276,0.75,1,0.548,0.000821501,0.000821501,0.000821501
21,45.5917,0.10889,0.75,1,0.55784,0.0008357,0.0008357,0.0008357
22,47.6557,0.08387,0.75,1,0.57815,0.000847259,0.000847259,0.000847259
23,49.8191,0.09044,0.75,1,0.62771,0.000856178,0.000856178,0.000856178
24,51.9012,0.09373,0.75,1,0.67047,0.000862456,0.000862456,0.000862456
25,53.9839,0.13743,0.75,1,0.63978,0.000866093,0.000866093,0.000866093
26,56.0604,0.07702,0.75,1,0.64843,0.000841835,0.000841835,0.000841835
27,58.1623,0.10463,0.75,1,0.62088,0.000808828,0.000808828,0.000808828
28,60.2509,0.10911,0.75,1,0.57552,0.000775822,0.000775822,0.000775822
29,62.3289,0.11846,0.75,1,0.55757,0.000742815,0.000742815,0.000742815
30,64.4298,0.08988,0.75,1,0.54713,0.000709809,0.000709809,0.000709809
31,66.5454,0.10333,0.75,1,0.51138,0.000676802,0.000676802,0.000676802
32,68.5972,0.07905,0.75,1,0.51725,0.000643795,0.000643795,0.000643795
33,70.6585,0.09453,0.75,1,0.51858,0.000610789,0.000610789,0.000610789
34,72.7285,0.07771,0.75,1,0.52388,0.000577782,0.000577782,0.000577782
35,74.8775,0.0788,0.75,1,0.52121,0.000544776,0.000544776,0.000544776
36,77.0065,0.10144,0.75,1,0.51357,0.000511769,0.000511769,0.000511769
37,79.1045,0.08184,0.75,1,0.51283,0.000478762,0.000478762,0.000478762
38,81.2145,0.0722,0.75,1,0.51533,0.000445756,0.000445756,0.000445756
39,83.3988,0.10466,0.75,1,0.49337,0.000412749,0.000412749,0.000412749
40,85.4844,0.08889,0.75,1,0.46979,0.000379743,0.000379743,0.000379743
41,87.6102,0.08804,0.75,1,0.45313,0.000346736,0.000346736,0.000346736
42,89.8045,0.07423,0.75,1,0.44852,0.000313729,0.000313729,0.000313729
43,91.9359,0.08667,0.75,1,0.43867,0.000280723,0.000280723,0.000280723
44,93.9962,0.07976,0.75,1,0.43333,0.000247716,0.000247716,0.000247716
45,96.0807,0.11944,0.75,1,0.42854,0.00021471,0.00021471,0.00021471
46,98.1443,0.08531,0.75,1,0.43133,0.000181703,0.000181703,0.000181703
47,100.246,0.08429,0.75,1,0.41909,0.000148696,0.000148696,0.000148696
48,102.292,0.08123,0.75,1,0.42101,0.00011569,0.00011569,0.00011569
49,104.406,0.08403,0.75,1,0.4166,8.26832e-05,8.26832e-05,8.26832e-05
50,106.485,0.06554,0.75,1,0.41722,4.96766e-05,4.96766e-05,4.96766e-05
