epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.59152,0.77368,0.25,1,0.77793,5.001e-05,5.001e-05,5.001e-05
2,4.81359,0.68288,0.91667,1,0.55748,0.00011438,0.00011438,0.00011438
3,6.86379,0.52611,0.91667,1,0.34019,0.000176109,0.000176109,0.000176109
4,8.89223,0.30823,0.91667,1,0.23566,0.000235197,0.000235197,0.000235197
5,10.8767,0.2132,0.91667,1,0.22728,0.000291645,0.000291645,0.000291645
6,12.9408,0.20813,0.91667,1,0.25703,0.000345452,0.000345452,0.000345452
7,15.0164,0.17422,0.91667,1,0.29468,0.000396619,0.000396619,0.000396619
8,17.0735,0.15341,0.91667,1,0.33592,0.000445146,0.000445146,0.000445146
9,19.1208,0.20107,0.91667,1,0.3555,0.000491032,0.000491032,0.000491032
10,21.1319,0.12474,0.91667,1,0.33863,0.000534277,0.000534277,0.000534277
11,23.1599,0.2198,0.91667,1,0.27515,0.000574882,0.000574882,0.000574882
12,25.2032,0.0891,0.91667,1,0.22335,0.000612846,0.000612846,0.000612846
13,27.2403,0.14905,0.91667,1,0.1912,0.00064817,0.00064817,0.00064817
14,29.2483,0.09859,0.91667,1,0.18725,0.000680853,0.000680853,0.000680853
15,31.2721,0.17786,0.91667,1,0.17997,0.000710895,0.000710895,0.000710895
16,33.2778,0.10295,0.91667,1,0.17863,0.000738298,0.000738298,0.000738298
17,35.3191,0.12548,0.91667,1,0.17832,0.000763059,0.000763059,0.000763059
18,37.3185,0.1164,0.91667,1,0.18219,0.00078518,0.00078518,0.00078518
19,39.3468,0.10425,0.91667,1,0.18629,0.000804661,0.000804661,0.000804661
20,41.4149,0.17269,0.91667,1,0.19888,0.000821501,0.000821501,0.000821501
21,43.4342,0.16002,0.91667,1,0.21354,0.0008357,0.0008357,0.0008357
22,45.4451,0.10455,0.91667,1,0.22232,0.000847259,0.000847259,0.000847259
23,47.4441,0.09626,0.91667,1,0.22056,0.000856178,0.000856178,0.000856178
24,49.4826,0.11303,0.91667,1,0.2124,0.000862456,0.000862456,0.000862456
25,51.5076,0.09889,0.91667,1,0.20833,0.000866093,0.000866093,0.000866093
26,53.4735,0.08525,0.91667,1,0.20164,0.000841835,0.000841835,0.000841835
27,55.4862,0.11207,0.91667,1,0.20049,0.000808828,0.000808828,0.000808828
28,57.507,0.17945,0.91667,1,0.18277,0.000775822,0.000775822,0.000775822
29,59.5162,0.11073,0.91667,1,0.17404,0.000742815,0.000742815,0.000742815
30,61.5202,0.09422,0.91667,1,0.17045,0.000709809,0.000709809,0.000709809
31,63.4983,0.11257,0.91667,1,0.16865,0.000676802,0.000676802,0.000676802
32,65.5297,0.10806,0.91667,1,0.16603,0.000643795,0.000643795,0.000643795
33,67.711,0.09655,0.91667,1,0.16599,0.000610789,0.000610789,0.000610789
34,70.044,0.11103,0.91667,1,0.16721,0.000577782,0.000577782,0.000577782
35,72.1618,0.11576,0.91667,1,0.17048,0.000544776,0.000544776,0.000544776
36,74.7293,0.11339,0.91667,1,0.17591,0.000511769,0.000511769,0.000511769
37,76.7563,0.08624,0.91667,1,0.18528,0.000478762,0.000478762,0.000478762
38,78.4771,0.10686,0.91667,1,0.18831,0.000445756,0.000445756,0.000445756
39,80.192,0.08691,0.91667,1,0.19585,0.000412749,0.000412749,0.000412749
40,81.9754,0.10732,0.91667,1,0.19721,0.000379743,0.000379743,0.000379743
41,83.9005,0.35821,0.91667,1,0.19361,0.000346736,0.000346736,0.000346736
42,85.6552,0.08825,0.91667,1,0.18284,0.000313729,0.000313729,0.000313729
43,87.4882,0.07705,0.91667,1,0.17487,0.000280723,0.000280723,0.000280723
44,89.3357,0.07822,0.91667,1,0.17652,0.000247716,0.000247716,0.000247716
45,91.1129,0.14599,0.91667,1,0.17627,0.00021471,0.00021471,0.00021471
46,92.8066,0.0743,0.91667,1,0.17724,0.000181703,0.000181703,0.000181703
47,94.6467,0.07668,0.91667,1,0.17188,0.000148696,0.000148696,0.000148696
